customer_id,age,gender,city,account_age_days,total_orders,total_items_sold,total_items_bought,avg_order_value,total_spend,total_earnings,preferred_category,payment_method,return_rate_percent,last_purchase_days_ago,seller_rating_avg,buyer_rating_avg,is_active_user,avg_delivery_days,discount_usage_percent
CUST200021,29.0,Female,Bangalore,850,119,88,212,3271.16,697540.75,110848.67,Sports,Wallet,12.51,134,3.34,3.37,1,5.0,41.77
CUST200022,24.0,Other,Delhi,2787,41,176,14,406.81,226623.41,457334.95,Automobile,Wallet,12.02,309,4.96,3.74,1,5.0,26.6
CUST200023,37.0,Female,Bangalore,2973,117,195,294,15596.99,565543.32,282004.3,Home Decor,UPI,28.5,56,4.61,3.71,0,11.0,41.08
CUST200024,62.0,Other,Mumbai,2645,147,117,226,10063.09,684613.59,419504.4,,UPI,16.97,99,2.56,2.45,1,4.0,23.33
CUST200025,23.0,Female,Hyderabad,2684,19,263,7,18135.43,413697.48,245408.87,Electronics,Wallet,18.94,206,4.24,3.0,0,11.0,23.3
CUST200026,42.0,Other,Kolkata,455,45,282,46,444.96,634820.63,406016.25,Books,COD,36.96,352,4.59,4.78,1,4.0,32.07
CUST200027,18.0,Male,Bangalore,1342,74,259,243,17847.91,608286.12,429546.69,Electronics,Debit Card,27.18,277,3.94,2.84,0,8.0,35.89
CUST200028,52.0,Female,Ahmedabad,458,105,159,154,13651.35,31633.8,464522.43,Automobile,Debit Card,21.58,248,4.37,2.61,1,11.0,6.68
CUST200029,27.0,Male,Ahmedabad,1004,130,115,27,11414.58,407601.04,120030.38,Sports,COD,18.91,348,2.25,3.26,1,10.0,47.17
CUST200030,32.0,Other,Ahmedabad,2598,37,89,247,14336.33,796282.91,150581.35,Automobile,Credit Card,22.6,46,2.56,4.48,1,10.0,53.95
CUST200031,56.0,Female,Kolkata,334,86,45,233,641.49,677922.95,183678.91,Books,Wallet,9.38,228,3.48,4.08,1,6.0,36.58
CUST200032,22.0,Male,Delhi,1680,18,163,151,6247.13,228931.3,416640.04,Books,Credit Card,40.74,207,2.14,2.36,0,6.0,36.16
CUST200033,64.0,Other,Delhi,533,25,141,327,12763.36,227541.97,20527.77,Home Decor,Debit Card,40.58,297,3.39,4.39,1,2.0,15.47
CUST200034,27.0,Female,Hyderabad,2258,133,22,56,9380.12,585236.34,203321.81,Books,Debit Card,43.08,217,4.76,4.92,1,7.0,58.06
CUST200035,41.0,Female,Bangalore,1433,41,250,250,1925.51,353244.71,290732.81,Automobile,Wallet,5.39,186,4.86,2.73,1,8.0,28.79
CUST200036,53.0,Other,Delhi,2676,86,129,168,426.36,450712.56,329318.42,Automobile,Wallet,20.75,346,2.8,4.92,1,8.0,40.0
CUST200037,21.0,Male,Mumbai,2120,24,173,345,14954.69,464345.73,102600.59,Furniture,UPI,13.55,227,3.64,2.41,1,11.0,31.99
CUST200038,26.0,Female,Chennai,376,17,105,379,15004.35,778411.72,182260.21,Furniture,Wallet,33.07,280,3.66,2.9,1,8.0,2.83
CUST200039,37.0,Other,Mumbai,2353,116,28,218,1641.43,146961.44,193023.18,Fashion,UPI,26.84,116,3.32,4.62,1,11.0,58.48
CUST200040,19.0,Female,Pune,2300,8,147,3,16960.63,522915.18,430517.11,Electronics,COD,42.41,363,4.93,3.82,0,9.0,45.02
CUST200041,18.0,Male,Delhi,1131,31,254,53,18459.21,326986.99,193039.31,Home Decor,Debit Card,27.12,6,4.0,4.1,0,10.0,28.76
CUST200042,34.0,Other,Chennai,1679,99,90,108,1562.4,728266.56,249512.98,Fashion,Wallet,1.91,61,4.86,4.34,1,7.0,8.49
CUST200043,49.0,Female,Mumbai,2608,76,164,391,17155.35,631441.82,404850.98,Books,Wallet,43.87,269,4.78,3.0,1,10.0,50.21
CUST200044,47.0,Other,Bangalore,2841,50,4,82,19641.17,362208.92,193476.74,Sports,Debit Card,10.07,352,2.16,3.07,1,10.0,27.38
CUST200045,62.0,Other,Ahmedabad,81,58,5,173,10234.19,720060.21,8851.62,Electronics,,34.45,325,3.86,4.68,1,2.0,59.26
CUST200046,46.0,Male,Mumbai,515,67,146,113,16514.31,14429.7,184446.14,Electronics,UPI,18.92,276,3.75,4.93,1,,27.9
CUST200047,25.0,Female,Chennai,475,25,15,256,7469.73,661087.09,193466.58,Fashion,Wallet,14.59,350,3.21,3.34,1,8.0,43.02
CUST200048,41.0,Male,Ahmedabad,407,96,233,67,9255.51,347098.17,20835.27,Electronics,Wallet,15.53,72,2.87,2.89,0,,23.88
CUST200049,28.0,Male,,2473,124,195,65,1201.32,,406402.28,Home Decor,COD,34.6,136,,3.86,1,2.0,19.42
CUST200050,,Other,Hyderabad,2679,146,40,209,,,311166.6,,COD,34.29,297,3.82,3.07,0,4.0,42.62
CUST200051,,Female,Hyderabad,163,102,235,322,18053.36,506422.91,230005.33,,Credit Card,36.28,171,2.68,2.4,1,2.0,34.31
CUST200052,18.0,Male,Hyderabad,2230,23,235,223,18202.62,636611.37,325051.32,Furniture,,22.45,204,2.93,2.15,1,5.0,49.62
CUST200053,25.0,Female,Hyderabad,1246,133,294,263,8241.36,134654.34,90840.52,,UPI,2.91,7,2.05,4.35,0,9.0,59.94
CUST200054,41.0,Other,,1299,50,11,161,6865.55,677808.59,384840.82,Books,Credit Card,7.61,99,2.76,2.52,0,9.0,59.23
CUST200055,46.0,Male,Bangalore,2137,7,106,121,16101.08,80614.02,467808.08,Fashion,UPI,5.44,106,4.57,4.39,0,3.0,37.65
CUST200056,50.0,Female,Hyderabad,547,36,228,88,17738.0,328211.14,485140.13,Home Decor,Credit Card,1.22,186,2.2,2.65,1,4.0,44.65
CUST200057,39.0,Male,Pune,2283,104,292,269,11499.79,567151.84,87913.64,,Wallet,16.63,97,2.11,2.68,0,6.0,44.25
CUST200058,54.0,Female,Chennai,2901,79,97,381,14483.0,176808.31,426215.36,,COD,0.97,307,4.22,2.53,1,6.0,10.55
CUST200059,53.0,Other,Mumbai,2971,54,256,46,10457.72,67337.19,86259.28,Automobile,Debit Card,27.11,170,,4.58,1,4.0,40.67
CUST200060,51.0,Female,Bangalore,1024,20,139,27,19828.04,29024.28,100716.26,Home Decor,UPI,3.72,7,2.1,3.37,1,7.0,16.7
CUST200061,21.0,Other,Mumbai,2791,100,282,94,12351.78,219998.35,251559.69,Home Decor,,18.0,288,3.01,4.09,0,1.0,43.56
CUST200062,45.0,Female,Hyderabad,2945,26,157,2,12927.1,627608.9,466122.0,Fashion,COD,17.5,29,2.08,3.91,1,6.0,38.48
CUST200063,51.0,Female,Kolkata,573,28,286,202,12472.01,260383.78,481549.08,Books,Credit Card,29.07,352,3.57,4.23,0,7.0,51.73
CUST200064,37.0,Female,Ahmedabad,1124,108,187,263,14932.92,456978.53,37486.57,Fashion,Credit Card,25.06,74,3.01,3.63,1,4.0,47.59
CUST200065,45.0,Other,Pune,2529,41,138,348,10724.7,37633.81,425887.77,Electronics,UPI,30.07,177,2.85,3.02,1,6.0,26.99
CUST200066,,Female,Delhi,1878,109,261,45,11720.83,579553.96,482420.1,,Credit Card,12.13,209,4.38,2.83,0,5.0,42.58
CUST200067,37.0,Male,Pune,506,121,91,203,15672.43,137590.43,174012.87,Furniture,COD,40.9,353,2.82,3.9,0,2.0,40.77
CUST200068,51.0,Other,Bangalore,128,52,114,97,11103.14,582544.67,256064.08,,UPI,34.48,344,3.47,4.47,1,6.0,38.3
CUST200069,48.0,,Kolkata,2896,14,92,222,1365.73,327046.66,32322.52,Electronics,COD,8.89,40,3.46,2.54,0,11.0,20.03
CUST200070,55.0,Other,Bangalore,886,141,186,341,14225.49,309593.19,236687.01,Fashion,Credit Card,43.5,217,3.69,3.83,0,1.0,39.92
CUST200071,27.0,Female,Delhi,795,147,194,1,17286.61,,326827.21,Automobile,UPI,2.35,300,2.34,4.53,1,8.0,19.19
CUST200072,47.0,,Ahmedabad,1707,1,169,343,5674.22,39126.17,319744.75,Sports,COD,6.78,277,4.82,4.62,0,9.0,52.02
CUST200073,35.0,Male,Mumbai,78,62,267,383,5687.87,125469.27,273843.16,Automobile,Credit Card,21.28,38,2.88,3.91,0,4.0,24.31
CUST200074,49.0,Other,Mumbai,333,57,297,12,7017.6,524678.98,367518.69,Fashion,Credit Card,7.31,357,4.91,3.39,1,,30.75
CUST200075,20.0,Other,Pune,933,19,221,151,15134.59,428956.56,202633.51,Electronics,COD,17.18,218,4.7,2.65,1,8.0,41.01
CUST200076,,Female,Chennai,1661,23,136,316,7510.56,552895.27,15836.8,Sports,Wallet,34.92,188,4.74,2.62,1,6.0,24.18
CUST200077,36.0,Female,Bangalore,372,138,10,183,3942.45,141249.07,80631.52,Electronics,,0.77,132,,2.93,0,9.0,12.44
CUST200078,39.0,Other,Chennai,750,113,94,217,3586.07,592866.73,26741.59,Automobile,Debit Card,35.91,125,5.0,4.19,1,10.0,24.61
CUST200079,21.0,Other,Bangalore,217,53,23,311,5470.25,258576.78,189994.3,Automobile,COD,17.72,289,3.94,2.28,0,4.0,54.75
CUST200080,29.0,,Chennai,416,57,117,183,7595.34,560825.0,8521.3,Electronics,UPI,35.94,282,4.98,4.71,0,7.0,15.22
CUST200081,34.0,Other,Delhi,1985,128,18,239,14848.99,534597.04,69838.33,Electronics,Debit Card,10.5,4,4.88,4.23,1,9.0,50.98
CUST200082,30.0,Male,Bangalore,1280,142,83,380,11941.77,443977.83,315078.01,Sports,UPI,35.73,61,2.46,2.26,0,2.0,20.52
CUST200083,47.0,Male,Kolkata,970,113,168,161,5375.56,649786.72,114269.24,Furniture,Wallet,23.83,352,3.53,2.94,1,10.0,24.66
CUST200084,61.0,Male,Hyderabad,1157,2,32,209,5828.71,113956.7,389124.59,Automobile,Wallet,15.77,211,,2.01,1,9.0,7.0
CUST200085,59.0,Male,Delhi,312,15,61,282,12333.8,423768.23,285499.77,Sports,,32.35,108,3.33,2.82,1,5.0,45.24
CUST200086,27.0,Male,,2325,31,5,76,344.65,442816.82,5159.81,Sports,COD,33.56,145,,4.94,1,10.0,48.75
CUST200087,30.0,Female,Bangalore,1865,149,161,146,7540.4,400650.94,342334.54,Fashion,Debit Card,13.41,163,3.51,4.05,1,8.0,24.62
CUST200088,21.0,Male,Pune,1615,99,39,183,13299.98,23995.64,106842.2,Automobile,Wallet,35.29,182,4.14,4.06,0,2.0,55.84
CUST200089,,Other,Pune,2480,53,289,377,16068.29,508509.31,405838.43,Books,COD,44.58,151,3.36,3.11,1,9.0,55.37
CUST200090,32.0,Other,Chennai,1800,109,64,399,7571.07,592713.35,433527.22,Automobile,Credit Card,6.47,145,4.09,2.3,1,1.0,7.91
CUST200091,38.0,Other,Chennai,1349,131,13,78,1808.01,82272.19,216232.22,Automobile,UPI,41.79,58,4.0,4.18,1,1.0,48.98
CUST200092,33.0,Other,,2842,93,158,369,1699.8,439434.47,86171.92,Fashion,UPI,32.75,338,3.83,2.68,0,6.0,26.29
CUST200093,,Other,Ahmedabad,1449,14,162,288,2710.74,772200.43,430819.84,Automobile,Wallet,4.07,157,2.16,4.21,1,3.0,6.12
CUST200094,22.0,Other,Pune,2793,134,160,190,972.94,442693.37,245556.53,Fashion,COD,5.31,343,3.46,4.83,1,11.0,32.1
CUST200095,61.0,Female,Delhi,1222,76,32,361,3831.8,395045.51,234615.83,Electronics,Debit Card,43.6,3,3.87,2.41,1,5.0,4.24
CUST200096,26.0,Other,Mumbai,2764,64,178,268,3520.34,,216649.54,Sports,COD,37.44,15,3.59,3.42,0,6.0,3.26
CUST200097,44.0,Male,Pune,1514,24,90,236,7966.44,549184.27,412225.49,Home Decor,UPI,18.88,221,3.12,3.7,1,9.0,9.09
CUST200098,61.0,,Ahmedabad,2240,128,233,114,19728.65,320324.4,62848.28,Books,Debit Card,18.11,30,4.08,3.61,1,5.0,29.73
CUST200099,41.0,,,1841,32,97,254,2738.84,155471.58,445591.98,Electronics,Credit Card,6.79,240,4.14,4.62,1,10.0,19.48
CUST200100,31.0,Male,Ahmedabad,286,81,80,376,9639.22,78737.23,285218.97,Automobile,Wallet,14.13,159,4.93,4.18,1,5.0,46.14
CUST200101,57.0,Male,Chennai,2960,76,202,72,5211.45,222640.95,175339.67,Furniture,Debit Card,20.9,231,2.65,3.76,1,11.0,52.53
CUST200102,21.0,Male,Kolkata,2695,148,241,284,14728.5,55636.87,347166.57,Books,Credit Card,14.78,271,2.39,4.51,1,6.0,15.13
CUST200103,47.0,Male,Pune,2442,147,250,215,11801.95,658671.36,331959.38,Electronics,Wallet,16.21,114,3.08,4.68,1,1.0,7.43
CUST200104,30.0,Female,Kolkata,2218,84,150,155,5409.33,230727.86,466655.46,Home Decor,Wallet,32.67,280,3.05,2.35,1,2.0,33.44
CUST200105,30.0,Male,Delhi,608,126,73,239,882.15,494388.72,314338.46,Fashion,Debit Card,37.71,229,4.23,2.93,1,6.0,0.79
CUST200106,33.0,Female,Bangalore,1774,146,17,198,6835.9,683068.55,319883.37,Electronics,Wallet,26.79,16,4.55,3.87,0,4.0,35.01
CUST200107,47.0,Female,Delhi,2631,15,44,388,17769.81,370033.73,218288.14,Home Decor,Debit Card,27.61,306,2.11,2.75,1,9.0,6.92
CUST200108,26.0,Other,Kolkata,2097,38,121,6,2750.43,613447.3,355401.63,,Wallet,5.51,54,4.49,4.27,1,2.0,28.18
CUST200109,56.0,Male,Pune,1833,80,9,239,15621.98,144865.18,438364.27,Home Decor,Wallet,37.22,117,2.61,2.91,1,10.0,59.2
CUST200110,24.0,Female,Pune,1888,138,45,371,12316.14,165792.57,172691.71,Automobile,Wallet,42.82,177,4.2,2.85,1,2.0,32.21
CUST200111,39.0,Male,Ahmedabad,444,21,229,162,10100.73,596609.07,408725.22,Electronics,Debit Card,32.04,16,4.09,3.39,1,1.0,33.38
CUST200112,,Female,Mumbai,1475,103,98,265,,285705.34,460277.14,Furniture,Wallet,43.12,124,2.42,3.03,1,3.0,32.75
CUST200113,,Male,,501,30,201,368,8491.12,20883.4,399866.08,Fashion,UPI,36.42,17,2.11,4.31,1,6.0,26.48
CUST200114,25.0,Other,Kolkata,2699,45,9,382,8077.7,767270.9,172176.08,,Wallet,36.4,158,3.29,2.97,1,10.0,10.44
CUST200115,35.0,Female,Hyderabad,238,71,36,94,3409.61,164269.69,440781.99,Automobile,UPI,41.34,331,3.36,2.77,1,2.0,55.87
CUST200116,60.0,Other,Hyderabad,2684,103,243,291,7688.4,,237845.64,Furniture,Debit Card,8.71,132,3.35,2.22,0,1.0,33.71
CUST200117,23.0,Other,Mumbai,1318,124,295,191,1684.84,302505.79,104529.96,Electronics,COD,11.47,115,4.68,2.73,1,7.0,22.72
CUST200118,54.0,Male,Kolkata,1956,104,108,40,2809.88,753674.96,296767.16,Books,Wallet,29.92,243,3.1,2.01,1,,20.87
CUST200119,59.0,Other,Mumbai,1264,77,133,333,12392.17,228859.73,260140.1,Books,COD,43.89,257,2.23,3.28,0,,30.25
CUST200120,59.0,Female,Bangalore,702,4,43,257,9289.75,416483.38,111588.56,Furniture,Credit Card,32.45,30,3.42,4.81,1,8.0,0.57
CUST200121,47.0,Female,Mumbai,2798,79,183,341,17181.05,86855.54,315167.35,Home Decor,Credit Card,2.3,295,4.57,4.54,1,2.0,1.42
CUST200122,44.0,Female,Chennai,1594,80,193,73,6776.49,,236993.59,Furniture,Credit Card,9.32,301,3.84,3.8,0,7.0,23.8
CUST200123,18.0,Other,Hyderabad,2726,65,48,227,6545.6,246153.06,68343.6,,,28.19,271,2.51,2.04,1,4.0,36.65
CUST200124,40.0,Female,Kolkata,395,32,166,157,14571.81,606830.26,241665.77,Furniture,UPI,3.07,362,3.96,4.02,1,9.0,21.59
CUST200125,52.0,Male,Ahmedabad,638,103,51,396,17273.77,662488.52,264031.93,Sports,UPI,20.06,201,2.63,3.0,0,2.0,18.04
CUST200126,30.0,Female,Bangalore,627,137,10,280,2406.25,275181.14,496670.75,,UPI,34.33,189,2.36,2.43,1,4.0,48.66
CUST200127,,Female,Mumbai,1784,141,88,133,1060.65,146851.63,329413.32,Home Decor,COD,4.34,261,3.92,4.72,1,6.0,38.62
CUST200128,58.0,Other,Kolkata,2605,120,215,176,6949.77,241533.55,271398.63,Home Decor,Wallet,17.1,187,3.45,3.77,1,9.0,52.75
CUST200129,52.0,,Mumbai,2756,22,137,192,10997.32,289082.48,458554.61,Automobile,Wallet,22.05,278,3.69,4.96,1,4.0,54.49
CUST200130,60.0,Other,Mumbai,522,77,174,384,11410.96,681827.37,220517.21,Furniture,UPI,34.26,248,3.0,4.79,1,2.0,28.9
CUST200131,64.0,,Kolkata,2666,4,208,38,9816.26,211738.76,729.91,Books,Credit Card,36.31,66,3.2,4.63,1,7.0,32.08
CUST200132,47.0,Female,Bangalore,916,141,218,35,6834.27,337767.2,12654.16,Automobile,UPI,18.88,70,4.02,2.36,1,8.0,9.11
CUST200133,56.0,Female,Kolkata,2427,133,10,163,889.42,673563.56,355200.33,Fashion,COD,3.46,182,2.28,3.88,0,9.0,50.55
CUST200134,60.0,Female,Mumbai,2858,8,85,143,12181.36,709973.72,74087.41,Automobile,UPI,17.45,194,3.23,4.89,1,4.0,33.36
CUST200135,35.0,Other,Kolkata,2482,107,78,242,10003.1,281798.51,403716.76,Automobile,UPI,43.17,115,4.99,4.74,1,7.0,9.42
CUST200136,23.0,Male,Mumbai,2267,83,255,36,11474.95,367104.32,441445.71,Books,Credit Card,8.61,28,3.59,3.79,1,7.0,44.19
CUST200137,33.0,Other,Chennai,2940,79,57,48,1908.21,730681.31,208164.46,Books,Credit Card,11.85,67,4.5,3.75,1,9.0,27.42
CUST200138,30.0,Female,Kolkata,412,104,258,375,16768.47,356129.34,328870.71,Books,Wallet,39.83,209,4.33,4.24,1,9.0,52.4
CUST200139,59.0,Male,Kolkata,1887,128,214,204,8392.14,492004.57,406330.82,Automobile,COD,8.39,133,2.15,3.13,0,9.0,11.6
CUST200140,58.0,Male,Kolkata,905,123,107,394,437.98,599067.05,242378.95,Sports,Debit Card,19.39,358,3.88,3.49,1,8.0,25.09
CUST200141,46.0,Male,Hyderabad,358,80,232,384,7112.7,280822.14,72668.8,Automobile,,36.42,215,4.35,2.4,1,7.0,22.35
CUST200142,,Female,Mumbai,120,128,38,211,12711.26,709192.18,59843.43,Sports,Debit Card,29.37,115,3.99,4.38,1,3.0,0.26
CUST200143,,Female,Pune,2330,74,113,70,4001.75,20085.38,450982.61,Fashion,Debit Card,9.67,99,2.68,4.91,1,8.0,0.94
CUST200144,41.0,Other,Bangalore,338,145,68,319,10809.59,280942.24,191833.68,Books,UPI,27.14,204,2.92,4.24,1,2.0,42.86
CUST200145,39.0,Female,Hyderabad,2203,73,159,55,11264.44,39701.78,495538.71,Home Decor,Wallet,32.65,173,,2.26,1,,53.58
CUST200146,22.0,Male,Delhi,782,3,23,82,5978.4,298276.11,22001.15,Home Decor,Debit Card,37.33,225,2.72,2.74,0,10.0,3.41
CUST200147,45.0,Other,Kolkata,933,13,42,76,13689.22,581868.52,276363.76,Home Decor,Credit Card,10.61,266,4.22,2.83,1,5.0,5.85
CUST200148,30.0,,Chennai,274,4,184,10,18700.81,319034.99,436947.65,Home Decor,Debit Card,3.5,361,4.14,3.02,1,2.0,36.46
CUST200149,,Female,Mumbai,1206,144,256,295,9909.54,559534.09,411857.37,Automobile,Credit Card,10.88,318,4.35,2.56,1,5.0,38.39
CUST200150,29.0,Male,Mumbai,1119,121,20,349,10447.96,315157.68,431528.97,Furniture,Wallet,27.32,32,2.85,3.57,1,2.0,31.65
CUST200151,24.0,Female,Mumbai,2909,106,145,56,5561.85,555405.57,350570.01,,Debit Card,12.78,130,2.96,3.61,1,9.0,26.59
CUST200152,51.0,Male,Kolkata,658,135,108,358,9961.09,404103.39,207469.68,Home Decor,UPI,13.78,171,2.95,2.15,1,11.0,53.23
CUST200153,39.0,,Chennai,277,46,295,127,2186.5,773873.98,406454.26,Home Decor,Credit Card,8.59,271,2.22,4.67,1,3.0,52.68
CUST200154,39.0,Male,Delhi,641,133,280,107,17566.05,272497.62,451131.32,Furniture,UPI,38.72,7,2.13,3.96,1,2.0,19.97
CUST200155,48.0,Other,Hyderabad,706,76,256,347,13608.26,401420.18,341357.4,Sports,UPI,29.96,23,4.14,3.02,0,3.0,35.21
CUST200156,61.0,Female,Mumbai,604,96,274,66,16222.28,706732.74,214266.14,Fashion,UPI,27.66,122,4.98,4.17,0,4.0,5.2
CUST200157,46.0,Other,Chennai,77,110,60,134,6187.41,254112.26,319659.03,Sports,Credit Card,31.16,267,2.06,4.75,1,10.0,37.75
CUST200158,30.0,Female,Hyderabad,762,61,34,358,10562.23,604655.76,62059.24,Fashion,Debit Card,7.66,288,3.57,4.48,0,7.0,11.48
CUST200159,30.0,Female,,984,117,279,10,5033.45,123375.94,236927.33,Automobile,Debit Card,33.33,335,3.08,3.9,1,1.0,15.7
CUST200160,63.0,Other,Ahmedabad,1500,101,148,59,3654.45,94248.93,257366.15,Home Decor,Debit Card,0.79,71,2.04,3.57,1,2.0,20.77
CUST200161,54.0,Female,,1406,132,51,294,19566.04,,106075.36,Fashion,Debit Card,26.95,282,3.6,2.75,0,7.0,45.24
CUST200162,25.0,Other,Delhi,2759,75,201,142,7143.95,367292.77,109569.76,Sports,Wallet,3.01,93,2.59,4.55,1,10.0,7.41
CUST200163,39.0,Female,Delhi,2229,63,216,117,7124.57,54941.72,50062.88,Fashion,Debit Card,32.21,150,4.59,3.43,0,9.0,55.58
CUST200164,59.0,Female,Delhi,848,67,160,252,1245.58,460720.33,408480.48,Home Decor,UPI,15.82,93,3.55,2.44,0,9.0,27.43
CUST200165,56.0,Other,Ahmedabad,442,29,80,11,5182.71,314456.68,25863.47,Sports,UPI,40.11,137,4.54,3.54,0,4.0,0.76
CUST200166,33.0,Other,Chennai,1511,149,261,317,15229.51,714855.53,242102.28,Books,COD,7.84,73,3.27,2.46,0,6.0,24.31
CUST200167,61.0,Other,Mumbai,1724,89,208,4,10999.29,354832.45,233384.28,Automobile,COD,38.72,228,2.71,4.33,0,10.0,31.31
CUST200168,36.0,Male,Mumbai,1025,134,149,379,19081.34,487646.8,499223.07,Fashion,UPI,3.71,358,2.1,3.34,1,3.0,6.98
CUST200169,46.0,Other,Mumbai,643,126,13,356,14695.34,403484.75,102862.64,Books,Debit Card,42.35,172,4.34,3.89,0,2.0,21.1
CUST200170,34.0,Male,Chennai,1881,42,298,286,10873.13,215714.55,479457.93,Sports,COD,28.99,224,3.26,2.6,0,10.0,49.73
CUST200171,23.0,Male,Mumbai,2541,142,86,362,8915.33,586702.55,387681.24,,Debit Card,25.92,98,2.28,2.53,1,3.0,25.97
CUST200172,53.0,Other,Pune,1777,47,125,322,17305.03,370702.62,332269.63,Automobile,COD,32.6,176,3.99,4.99,1,5.0,26.25
CUST200173,31.0,Female,Delhi,1604,44,201,224,11274.47,357292.41,323998.08,Fashion,Wallet,27.34,171,2.41,2.28,0,1.0,20.38
CUST200174,50.0,Male,,378,25,4,219,9490.11,169814.07,466744.39,Automobile,Debit Card,31.53,152,3.66,2.37,0,6.0,36.59
CUST200175,,Other,Ahmedabad,380,149,44,118,11266.81,386321.95,384904.48,,UPI,31.29,109,2.75,2.15,1,10.0,27.59
CUST200176,49.0,Female,Chennai,246,93,246,143,8396.67,776021.86,273055.62,Books,COD,37.19,18,3.96,4.64,0,9.0,41.64
CUST200177,51.0,Female,Bangalore,1046,135,100,306,15838.65,454854.57,248596.23,Sports,Wallet,35.27,169,2.08,2.22,0,4.0,38.73
CUST200178,63.0,Female,Ahmedabad,1467,54,149,159,12251.43,658961.13,482436.41,Books,Debit Card,21.86,212,4.04,2.25,1,1.0,18.01
CUST200179,58.0,Female,,2964,112,162,176,17029.13,730374.25,112033.32,Automobile,Wallet,32.59,338,2.01,3.45,0,4.0,54.9
CUST200180,45.0,Other,Ahmedabad,337,2,171,255,18146.54,316146.67,55068.32,Automobile,COD,11.6,150,3.15,3.69,1,11.0,38.8
CUST200181,32.0,Male,Mumbai,2692,14,239,170,19455.07,763376.37,26353.84,Fashion,UPI,1.88,36,,3.02,1,6.0,13.02
CUST200182,63.0,Other,Ahmedabad,421,79,122,187,18949.69,518259.23,335338.41,Fashion,Debit Card,34.35,311,4.92,2.38,1,4.0,6.58
CUST200183,59.0,Female,Kolkata,1373,13,154,157,16545.36,152269.68,28279.68,Books,Debit Card,12.06,20,2.11,2.55,1,7.0,40.8
